year,metro,city,genSrc,capacity,cnt,all,0,1,2,3,4,5,6,7,8,9,10,면적,필지,h_m
2018.0,강원,양구군,태양광,41634.09,362.0,23408.0,1935.0,2312.0,3605.0,2777.0,2822.0,3742.0,2927.0,2125.0,994.0,153.0,16.0,661887501.9999999,90931,0.03536552651208695
2019.0,강원,양구군,소수력,180.0,1.0,22764.0,1887.0,2135.0,3276.0,2683.0,2646.0,3688.0,3114.0,2093.0,1069.0,156.0,17.0,661887501.9999999,90931,0.03439255150039078
2019.0,강원,양구군,태양광,54590.25,485.0,22764.0,1887.0,2135.0,3276.0,2683.0,2646.0,3688.0,3114.0,2093.0,1069.0,156.0,17.0,661887501.9999999,90931,0.03439255150039078
2020.0,강원,양구군,소수력,180.0,1.0,22278.0,1702.0,2047.0,3171.0,2547.0,2556.0,3547.0,3365.0,2020.0,1160.0,148.0,15.0,661887501.9999999,90931,0.03365828774932814
2020.0,강원,양구군,태양광,71831.0,626.0,22278.0,1702.0,2047.0,3171.0,2547.0,2556.0,3547.0,3365.0,2020.0,1160.0,148.0,15.0,661887501.9999999,90931,0.03365828774932814
2021.0,강원,양구군,소수력,180.0,1.0,21748.0,1649.0,1929.0,2856.0,2471.0,2428.0,3407.0,3649.0,1954.0,1218.0,180.0,7.0,661887501.9999999,90931,0.03285754744467135
2021.0,강원,양구군,태양광,75686.6,674.0,21748.0,1649.0,1929.0,2856.0,2471.0,2428.0,3407.0,3649.0,1954.0,1218.0,180.0,7.0,661887501.9999999,90931,0.03285754744467135
2012.0,강원,양양군,태양광,29.44,1.0,27802.0,1789.0,2676.0,2794.0,3089.0,4059.0,5127.0,3877.0,3162.0,1030.0,187.0,12.0,629863736.8000001,114090,0.04413970574214521
2013.0,강원,양양군,태양광,48.69,2.0,27659.0,1682.0,2546.0,2839.0,2919.0,4016.0,5173.0,3851.0,3337.0,1088.0,194.0,14.0,629863736.8000001,114090,0.043912672509963106
2014.0,강원,양양군,태양광,974.85,10.0,27521.0,1617.0,2482.0,2641.0,2769.0,4013.0,5180.0,3988.0,3479.0,1134.0,206.0,12.0,629863736.8000001,114090,0.043693577502682476
2015.0,강원,양양군,태양광,1271.67,13.0,27479.0,1573.0,2393.0,2600.0,2658.0,3896.0,5135.0,4191.0,3536.0,1247.0,238.0,12.0,629863736.8000001,114090,0.04362689641351011
2016.0,강원,양양군,태양광,1469.67,15.0,27218.0,1494.0,2242.0,2540.0,2547.0,3752.0,5155.0,4301.0,3580.0,1342.0,251.0,14.0,629863736.8000001,114090,0.04321252107365327
2017.0,강원,양양군,태양광,2091.0,17.0,27207.0,1417.0,2145.0,2445.0,2453.0,3703.0,5117.0,4525.0,3684.0,1446.0,258.0,14.0,629863736.8000001,114090,0.04319505697887003
2018.0,강원,양양군,태양광,3360.07,19.0,27347.0,1356.0,2068.0,2376.0,2426.0,3617.0,5098.0,4843.0,3687.0,1575.0,289.0,12.0,629863736.8000001,114090,0.04341732727611125
